,city,lat,lng,temp,humidity,cloudiness,wind_spd,country
404,olden,61.84,6.81,28.96,89.0,2.0,3.06,NO
405,gat,31.61,34.76,59.74,19.0,0.0,5.08,IL
406,machico,32.7,-16.77,62.6,67.0,20.0,11.41,PT
407,nantucket,41.28,-70.1,38.98,93.0,90.0,26.4,US
408,kathmandu,27.72,85.32,55.4,93.0,20.0,4.7,NP
409,tongren,27.72,109.19,57.45,78.0,83.0,2.46,CN
410,santana do livramento,-30.89,-55.53,60.85,72.0,0.0,6.46,BR
411,lagoa,39.05,-27.98,62.22,84.0,100.0,17.72,PT
412,lavrentiya,65.58,-171.0,20.88,95.0,100.0,9.64,RU
413,chulman,56.85,124.91,12.43,81.0,100.0,13.0,RU
414,aviles,43.55,-5.92,55.54,93.0,75.0,2.24,ES
415,doboj,44.73,18.09,55.4,71.0,96.0,5.82,BA
416,dong hoi,17.48,106.6,79.84,72.0,38.0,4.27,VN
417,guanica,17.97,-66.91,78.91,72.0,7.0,1.01,PR
418,porto novo,6.5,2.6,84.2,83.0,40.0,9.17,BJ
419,vestmanna,62.16,-7.17,42.8,81.0,0.0,11.41,FO
420,harrisburg,40.27,-76.88,46.49,37.0,20.0,13.87,US
421,amahai,-3.33,128.92,83.7,74.0,67.0,2.35,ID
422,makokou,0.57,12.86,70.88,84.0,76.0,2.77,GA
423,labuhan,-6.88,112.21,80.65,82.0,82.0,3.74,ID
424,khotkovo,56.26,38.0,35.6,93.0,40.0,6.71,RU
425,raposa,-6.52,-44.18,71.85,87.0,96.0,0.76,BR
426,okmulgee,35.62,-95.96,67.42,32.0,1.0,13.87,US
427,pangnirtung,66.15,-65.71,3.31,85.0,97.0,4.18,CA
428,buin,-33.73,-70.75,75.2,50.0,76.0,9.17,CL
429,rawson,-43.3,-65.1,69.31,54.0,88.0,9.24,AR
430,pangody,65.85,74.49,36.12,93.0,100.0,13.4,RU
431,thunder bay,48.4,-89.32,47.19,42.0,75.0,13.87,CA
432,bambous virieux,-20.34,57.76,76.05,83.0,40.0,11.41,MU
